Time,P1,P2,P3,P4
12:48:20,--,--,--,--
12:48:25,--,--,--,--
12:48:30,--,--,--,--
12:48:35,107.6°F,77.0°F,--,--
12:48:40,107.6°F,77.0°F,--,--
12:48:45,107.6°F,77.0°F,--,--
12:48:50,107.6°F,77.0°F,--,--
12:48:55,107.6°F,77.0°F,--,--
12:49:00,107.6°F,77.0°F,--,--
12:49:05,109.4°F,77.0°F,--,--
12:49:10,109.4°F,77.0°F,--,--
12:49:15,109.4°F,77.0°F,--,--
12:49:20,109.4°F,77.0°F,--,--
12:49:25,114.8°F,77.0°F,--,--
12:49:30,114.8°F,77.0°F,--,--
12:49:35,114.8°F,77.0°F,--,--
12:49:40,114.8°F,77.0°F,77.0°F,100.4°F
12:49:45,114.8°F,77.0°F,77.0°F,102.2°F
12:49:50,114.8°F,77.0°F,77.0°F,102.2°F
12:49:55,114.8°F,77.0°F,77.0°F,102.2°F
12:50:00,114.8°F,77.0°F,77.0°F,102.2°F
12:50:05,114.8°F,77.0°F,77.0°F,102.2°F
12:50:10,114.8°F,77.0°F,77.0°F,102.2°F
12:50:15,114.8°F,77.0°F,77.0°F,102.2°F
